name,description,difficulty,type,image_url,muscles_stretched,muscles_strengthened,muscle_action,prerequisites,tags,url
90-90 Side Foot Lifts,"Flexibility Focus: Hip Internal Rotation This active variation of the 90-90 stretch works on strengthening our hip internal rotators while our leg is in an abducted (open out to the side) position. Even while we rarely use this amount of internal rotation in most stretches/poses, working on our hip rotation is important to help strengthen the stabilizing muscles in our hips, to allow us to stretch deeper in other hip positions. Start in a 90-90 stretch: sitting on the floor (or 1-2 yoga blocks), splay your legs out like a pinwheel. Bring your left knee in front of your left hip, rotating your thigh outwards and splaying your foot across your body (this leg will be externally rotated ). Bring your right knee out to the side of your right hip, with your thigh rotated forwards, foot kicked back behind you (this leg will be internally rotated ). Both knees should be bent 90 degrees. If this feels uncomfortable on your knees or pinch-y in your hips, sit on a yoga block or two (it’s fine if the front knee isn’t touching the ground. We’re going to work on the right leg (the internally rotated leg). Keeping the right knee on the floor, making sure it’s still anchored directly out to the side of your hip, try to lift your foot/ankle off the ground (rotating your right thigh towards the floor), then bring the foot back down. If it only lifts an inch or two, that’s great - we want this exercise to be challenging! If you can’t lift the foot at all, lean your torso off to the left (away from the working leg) until you can lift the foot. Repeat for 8-12 reps. Sit on 1-2 yoga blocks. Lean away from the working leg. Sit as upright as possible. Start with a block under the working foot (increasing the amount of internal rotation we’re starting with) and work to lift the foot off the block instead of the floor.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6390af68d203294aab5e7866/1671329142912/90-90+Side+Foot+Lift+-+thumb.png?format=1500w,,Hip Internal Rotators,Hip flexion; Hip extension; Hip rotation,none,Active Hip Internal Rotation,https://www.daniwinksflexibility.com/flexopedia/90-90-stetch-side-foot-lifts
Active Lunge Rocks with a Band,"This is a “mean” (I say “mean” because hoooo boy is it a challenge!) active deep lunge exercise that works on strengthening our quads while they’re in a deeply stretched position. I like to pair this drill with lunge rocks with a block as a compliment to hit the muscles on the other side of the joint as well. Start kneeling, and loop a miniband around one leg between the ankle and the top of your thigh (if you don’t have a miniband, you can tie a regular resistance band into a smaller loop). Step back into a kneeling lunge with your lassoed leg in back (knee on the floor) and free leg in front (knee stacked on top of the ankle). Lift your chest so your torso is upright. Engage your quads in the back leg by lightly kicking your ankle into the band. Keep that tension in the band (keeping kicking into it) as you slowly rock your hips forwards and backwards. You should be feeling a stretch in the back leg quads (front of the thigh) and hip flexors (front of the hip), as well as a strong squeeze through the quads. Continue to keep the back ankle pressing into the strap as your rock your hips for 10-30 seconds. Use a less stiff resistance band . This will let you kick the back foot farther away, lessening the intensity of the quad stretch (if the band starts to slip down the back thigh, you can hold it in place with your hands). Use a narrower band , or knot your current band to make it narrower. The closer we keep the heel to the butt, the deeper the quad stretch (and the more challenging it is to contract our quads).",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/638ffe81f843f2256ff24ccb/1670816385294/lunge+rocks+with+a+band+-+thumb.png?format=1500w,"Quads, Hip Flexors",n/a,Knee extension; Hip flexion,Can pull your foot close to your butt in a lunge with no knee discomfort,"Active Quad Stretch - Quads, Active Hip Flexor Stretch - Quads",https://www.daniwinksflexibility.com/flexopedia/active-lunge-rocks-with-a-band
Active Lunge Rocks with a Block,"This is very much a “feel the burn” (in a productive / good way!) type drill. By adding a block squeeze, we encourage our hamstrings to engage and hip flexors and quads to relax while we rock our hips forwards and backwards in our lunge. I like to pair this drill with lunge rocks with a band as a compliment to hit the muscles on the other side of the joint as well. Start in a kneeling lunge with your hips square , and torso lifted. Kick your back foot toward your butt and squeeze a yoga block (the long way) between your heel/ankle and butt. (If that placement feels awkward you can try squeezing the block between your lower calf and upper thigh - really we just want to be able to consistently kick the back leg into the block to keep it smooshed into our upper leg). This should feel like a solid contraction in our hamstrings (muscles in the back of the thigh). Keeping your torso lifted, keeping the back leg squishing the block into your butt, rock your hips forwards and backwards. You should be feeling a stretch in both your hip flexors (front of the back leg hip) and quads (front of the back leg thigh). Continue rocking your hips for 10-30 seconds. Lose the block . Just actively squeeze your heel towards your butt the whole time as much as you can (but no using your hands!) Rotate the block to a narrower width . This will keep your heel closer to your butt, increasing the quad stretch.",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/638ffd2246ca3a6e8f7a28a2/1671144593061/lunge+rocks+with+a+block+-+thumb.png?format=1500w,"Quads, Hip Flexors",n/a,Knee extension; Hip flexion,Can pull your foot close to your butt in a lunge with no knee discomfort,"Active Quad Stretch - Hamstrings, Active Hip Flexor Stretch - Glutes",https://www.daniwinksflexibility.com/flexopedia/active-lunge-rocks-with-a-block
Active Side Bend,"Ranges of Motion Trained: Spinal Lateral Flexion (Sidebending) This is one of my favorite drills to include in my upper back warm up because it helps the upper back start to get a gentle stretch in a range of motion that it’s good at moving in (sidebending) before I ask it to do more “challenging” ranges of motion (like backbending). From sitting or standing, raise both arms up overhead with arms straight and palms facing in. Keeping your waist vertical, slowly lean over to one side, thinking about reaching up and away with the arms, not folding in half at the waist (unless you want to turn this into a side bend more for your mid and lower back). Come back to center, and slowly lean over to the other side. Repeat, leaning side to side for 15-30 seconds. Cross your arms in front of your chest instead of reaching them overhead. Add some shoulder engagement by holding onto a yoga block and pushing it up towards the ceiling as you tilt to each side (shrugging shoulders up towards the ears, and gently pressing hands in on the block to not drop it). Make sure your arms stay straight!",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b52e4a1f5250eb352702/1681569046704/Active+Side+Bend.png?format=1500w,Back,n/a,Spinal extension; Shoulder retraction,none,Active Back Stretch - Spinal Lateral Flexion,https://www.daniwinksflexibility.com/flexopedia/active-side-bend
Active Straddle Hover,"This is a great active strengthener for our hamstrings (especially for students interested in strengthening their straddle pancake). It’s also great conditioning for aerialists looking to build the strength to hold a straddle in the air with silks supporting the ankles. I originally learned this butt-kicked from Micah Walters (who is a great resource for active flexibility knowledge if that’s your jam!) Start sitting in a straddle with your legs open out to the side. Bend your knees and slide yoga blocks under your thighs. Where you place the blocks will impact the difficulty of this drill (closer to your hips = easier, closer to your feet = harder). I suggest starting with the blocks very close to your hips, and adjusting them farther away if you need more of a challenge. With the blocks supporting your thighs, engage your quads to straighten your legs. Keeping your legs straight, and back flat, lean forwards as you press the underside of your legs down into the blocks (this will contract your hamstrings) trying to lift your butt off the ground for a moment, then drop your butt back down to the floor with control. If it’s feeling pretty easy to lift your butt, slide the blocks farther down your thighs, closer to your knees (or past your knees) until it feels challenging. Aim for 5-10 butt lifts, and if you’d like a special challenge, end with a 10-20 second hold. Start with the blocks as close to your hips/butt as possible (that means your knees will need to bend a lot to slide the blocks in place). Push your hands into the floor to help lift your hips, then take your hands off and try to slowly lower down with control. Move the blocks farther away from your hips. Eventually once you build the strength/flexibility, you can do this drill with blocks under your heels.",Intermediate,Active Static / Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6390b3eb9400ff0989ebc1c2/1676850338969/Active+Straddle+Hover+-+thumb.png?format=1500w,"Hamstrings, Adductors",n/a,Hip extension; Knee flexion; Hip adduction,Can comfortably sit in a straddle on the floor with leg straigh and a flat back and do a small forward fold.,"Active Hamstring Stretch - Hamstrings, Active Adductor Stretch - Glutes",https://www.daniwinksflexibility.com/flexopedia/active-straddle-hover
Alligator Arms Hug,"Range of Motion Stretched: Shoulder Protraction This is a great variation to Eagle Arms for students with tighter shoulders who can’t quite pretzel their arms around in that fancy bind. It’s a lovely stretch for the muscles between your shoulder blades. Cross both arms in front of your chest, like you’re giving yourself a hug, stacking both elbows on top of each other in front of your shoulders, resting your palms on the sides of your shoulder blades. Your elbows should be pointing forwards (kind of like you’ve just made a big alligator mouth with your arms) Keeping your elbows stacked on top of each other, press your elbows forwards, reaching them away from your chest. This will protract (slide apart and forwards) your shoulder blades, sliding them forwards around the sides of your ribs, stretching the muscles between your shoulder blades. Hold for 20-30 seconds. Don’t worry about pushing the elbows forwards , just work on getting the elbow-on-top-of-elbow hug position first Lift the elbows a bit higher , up to chin height",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b41390532f7e65738a9f/1681319205396/Alligator+Arms+Hug.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,Shoulder Stretch - Miscellaneous,https://www.daniwinksflexibility.com/flexopedia/alligator-arms-hug
Angry Toddler's Pose,"Range of Motion Stretched: Spinal Flexion (Rounding) I’m not sure if this pose has an actual “official” name, but I’ve always called it “Angry Toddler’s Pose” because it’s kind of like Child’s Pose , but your hands are closer to your knees and you’re angrily pushing them into the floor like a cranky toddler throwing a tantrum. This is a great pose to gently stretch out the muscles in your back! Start in a child’s pose : kneeling with your butt sitting backwards (resting on your heels, floating/reaching towards your heels, or resting on a yoga block or two), arms reaching forwards. Slide your hands back closer to your knees, tuck your chin towards your chest, and press your hands firmly into the floor to round your back. Hold for 10-30 seconds. Experiment with knee position - try taking knees closer together, or farther apart, to see which is more comfortable Sit on a yoga block (or two, or three) to support the weight of your hips Add an arm lift (for reps) . In your Angry Toddler’s Pose, make a thumbs up sign with one hand, thumb pointing towards the ceiling. Keep pressing the other hand into the floor as you try to lift your thumbs up off the ground, and lower it down. Repeat for 10 reps on one arm, then switch arms.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6436b9449b5bbc065a0dc22d/1698418791471/Angry+Toddler%27s+Pose.png?format=1500w,Back,n/a,Spinal extension; Shoulder retraction,none,Active Back Stretch - Spinal Flexion,https://www.daniwinksflexibility.com/flexopedia/angry-toddlers-pose
Arched Back Pike Leg Lifts,"This variation of pike leg lifts is especially challenging because it isolates the hip compression strength from the core compression (which we sometimes also use to lift our legs). By maintaining an arch with our back, we keep the pelvis tilted forwards, making it even harder to lift our legs. This is a great end-range strengthener for the quads and hip flexors (strengthening them while they’re in a shortened position). Start sitting in a pike with your back against a wall. Raise your arms overhead and arch your back, pulling your belly forwards, making space between your low back and the wall. Keep your arms reaching back overhead, fingertips touching the wall. Keep this arched-back position for the duration of this exercise. Maintaining your back arch and arms reaching overhead, lift one leg off of the ground as high as you can while keeping that leg straight, then drop it back to the floor. Repeat for 8-12 leg lifts on one leg, then switch legs. Sit on a yoga block (elevate your hips). Place a physical support , like a foam roller, yoga block, or rolled up towel, between your mid back and the wall to help keep your back arched. Add a deeper backbend , leaning forwards farther with your belly.",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63bb5c8fd3aca05cbb7a3055/1673290116016/Arched+Back+Pike+Leg+Lifts.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,Can comfortably touch toes in a flat back pike stretch,Active Hamstring Stretch - Hip Flexors,https://www.daniwinksflexibility.com/flexopedia/arched-back-pike-leg-lifts
Arched Back Supine Leg Lifts,"Similar to Supine Leg Lifts with Hips on Block(s) , this back-lying leg lift variation is made more challenging by adding a back arch, encouraging the pelvis to tilt forwards, making it harder to lift the leg toward the chest. By working in a slightly deeper (but supported) backbend, we strengthen our quads and hip flexors to more deeply flex our hips in backbends like bridges (helping kick one leg up in the air) and contortion handstands (helping kick the legs into a flatter split in the air). Start lying on your back on the floor. Place a low physical support, like a foam roller or a yoga block under your lower mid back so you can arch your back while still keeping the back of your hips and head on the floor. Straighten both legs and point your toes. If this is uncomfortable on your back - try a lower support, or find another exercise . Keeping your left leg flat on the floor (don’t let it start to float up), lift your right leg with control as high as you can (with control, don’t use momemntum), kicking it towards the ceiling / towards your chest - this should feel like a strong squeeze in your quads in the front of your thigh and hip flexors in the front of your hip. Then slowly lower the left leg back to the floor. Repeat for 8-12 leg lifts on the right leg, then switch to the left leg. Make your back support smaller , like using a rolled up towel instead of a yoga block. Increase the arch in your back by making the back support taller (so long as that feels OK on your back!) Flexopedia Arched Back Pike Leg Lifts",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63bb5e799eb5c344a3a186a5/1673290126729/Arched+Back+Supine+Leg+Lifts.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,Can lift a straight leg well past 90 degrees when doing supine leg lifts with the other leg flat on the ground & can bridge comfortably,Active Hamstring Stretch - Hip Flexors,https://www.daniwinksflexibility.com/flexopedia/arched-back-supine-leg-lifts
Arched Back Supine Leg Straightens,"I like this as a companion exercise to Arched Back Supine Leg Lifts because it challenges our quads in a slightly different way. We still focus on contracting the hip flexors to keep our hip flexed, but we alternate bending and straightening the knee to increase and decrease the hamstring stretch component. This can be a great quad strengthener if you tend to microbend your knee in bridge leg lifts or aerial splits. Start lying on your back with a yoga block (on the low height setting) under your mid back, helping support an arch in your back. Make sure the block is far enough away from your hips that the back of your hips can rest on the floor and you can straighten your legs. If this is an uncomfortable amount of arch for your low back, try a smaller support, or try a different exercise. Never push through pain! Keeping your left leg flat on the floor, bend your right knee and kick it in towards your chest as much as you can without your hips lifting off the floor. Don’t use your hands to pull the leg in, only kick it in as much as you can using your hip muscles. Keeping the right thigh squeezing towards your belly, and knee squeezing towards your chest, kick the right leg all the way straight. Keep squeezing the straight leg in toward your chest for a moment, then bend the knee. Alternate straightening and bending the knee 8-12 times, all the while keeping the leg squeezing towards your chest - try not to let it drift away! Use a lower height support object like a rolled up towel. Use a taller backbend support object , like a foam roller or two yoga blocks (only if that feels comfortable on your back!)",Intermediate,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63bb6524fcfa9f723e3c7693/1673290146873/Arched+Back+Supine+Leg+Straightens.png?format=1500w,Hamstrings,n/a,Hip extension; Knee flexion,Can lift a straight leg well past 90 degrees when doing supine leg lifts with the other leg flat on the ground & can hold a comfortable bridge.,"Active Hamstring Stretch - Hip Flexors, Active Hamstring Stretch - Quads",https://www.daniwinksflexibility.com/flexopedia/arched-back-supine-leg-straightens
Arm Across the Chest Stretch,"This stretch will always remind me of P.E. class, definitely one of the old-school classics that everyone would randomly do when they didn’t know what to stretch XD. The actual purpose of this stretch is to stretch out your posterior delts and some of the other muscles on the backside of your shoulder. Keeping your shoulder low (avoid letting the shoulder shrug up towards your ears), hug your arm in toward your upper body until you feel a stretch on the outside/back of your shoulder. You can keep the arm straight, or bend the elbow if you prefer. I like to keep the arm straight and do some wrist circles in that free hand at the same time (multitasking!) Hold this stretch for 20-30 seconds.",All Levels,Passive Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63f5555b4b631a7cf5aea0fa/1677251368937/Arm+Across+The+Chest+Stretch.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,Shoulder Stretch - Miscellaneous,https://www.daniwinksflexibility.com/flexopedia/arm-across-the-chest-stretch
Arm Circles,"I actually felt a little silly making a whole entry for this exercise because almost everyone knows how to do it intuitively - but I still wanted to list it! So I’ll include some variations I like to “spice it up” and make it a bit more challenging/interesting than just regular ol’ arm circles. Standing or kneeling, extend your arms out to the sides and start to trace big circles. These can be relaxed/floppy circles, making them as big (or as small) as feels comfortable. Don’t worry if you hear/feel some popping or clicking in your shoulders (as long as it doesn’t hurt!). Do 5-10 relaxed circles in one direction, then switch directions Small-to-big - Start with your arms straight out to the side at shoulder height, making the tiniest circles you can. Slowly start making your arm circles bigger, until you’re doing them as big as you can, then switch directions and shrink them back down to tiny circles Go-go gadget arms - Slow down your big arm circles, actively reaching your arms as long as you can (imagining you are doing “go go gadget arms”), trying to trace the biggest circle with your fingertips humanly possible. You should be able to feel your upper arms and shoulders engage as you reach in each direction. Hand reach/touch challenge - This is another variation best done slowly. Keeping your arms straight, try to keep your hands as close to each other as you can as you circle your arms. When your arms are in front of your body, that’s easy! So when arms are in front, touch your fingertips together. As you’re circling your arms backwards, keep those fingertips reaching towards each other as much as you can even when they are pulled apart. As soon as you can bring those hands together again, bring the fingertips back to touch (this might be behind your hips or in front).",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebaf12f192803a50353193/1676847301079/Arm+Circles.png?format=1500w,Shoulder,n/a,Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,Shoulder Stretch - Circumduction,https://www.daniwinksflexibility.com/flexopedia/arm-circles
Arm Swings,"This is part of my regular shoulder mobility warm-up (along with a whole slew of variations of arm circles and other drills). Holding your arms out at shoulder height , palms facing up, criss-cross your arms in front of your body, then pull them open reaching your thumbs behind you. Continue to criss-cross then open for a couple of swings (ideally alternating which arm you’re criss-cross-ing on top in the front). Keep the criss-cross-and-open motion going, but take your arms off at a diagonal : swinging one arm a little higher than shoulder height, the other a little lower than shoulder height. Repeat for a couple of swings, then do the same at the other diagonal. End with swinging your arms forwards-and-backwards vertically, one arm reaching up-and-back, the other reaching-down-and-back, then switch. Repeat for a couple of swings.",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63f5568bf65e202dab52f4cf/1681306447811/Arm+Swings.png?format=1500w,"Chest, Shoulder",n/a,Shoulder horizontal adduction; Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,"Chest Stretch, Shoulder Stretch - Miscellaneous",https://www.daniwinksflexibility.com/flexopedia/arm-swings
Awkward Sun Tan,"This is one of my go-tos for a passive shoulder extension stretch that stretches the front of the shoulder and chest. Start sitting on the on the floor. Plant your hands behind you, about shoulder-width apart (wider is OK if that feels better) with palms down, fingers facing away. Crawl your hands backwards or scoot your butt forwards until you start to feel a stretch in the front of your shoulders. If you feel any discomfort on your elbows, slide your hands closer to your butt and bend your elbows, trying to point them straight back. Hold this stretch for 15-20 seconds. Keep the hands closer to your butt. Spread the arms a bit wider than shoulder-width apart. Let your head drop back (only if this feels OK on your neck!) to add a bit of gentle pressure from the weight of your head.",All Levels,Active Static,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/6431666e17bde318eee02829/1680960646505/Awkward+Sun+Tan.png?format=1500w,"Chest, Shoulder",n/a,Shoulder horizontal adduction; Shoulder internal rotation; Shoulder external rotation; Shoulder flexion,none,"Chest Stretch, Active Shoulder Stretch - Extension",https://www.daniwinksflexibility.com/flexopedia/awkward-sun-tan
Back Extensions,"Range of Motion Strengthened: Back extension Anyone who's taken a back flexibility class from me knows I’m obsessed with back extensions - these really are the bread-and-butter of active back flexibility training. I typically use several variations within a given training session (to focus on different back/shoulder engagement or stretches), but this is the “default” variation I usually start with. Unlike back extensions done on a machine at the gym, I strongly encourage students to do these lying on the floor and not allow the legs to help with the lift. Keeping the legs flat on the floor ensures the majority of the strengthening from this exercise is targeted to our back, and not our glutes and hamstrings. Start lying face-down on the floor, legs about hip-width apart (a little wider is fine), arms relaxed by your sides. Engage your transverse abdominis by sucking your belly button in towards your spine (technically this isn’t “necessary” to protect your low back unless you’re going into quite a deep arch, BUT I like to encourage students to get in the habit of trying this ab engagement in small backbends like their backbend) - keep this engagement throughout the exercise. Keeping your legs on the floor (don’t let them float up like in a Superman), lift your chest off the ground as high as you can - you should feel a strong squeeze in your erector spinae , the muscles running up and down each side of your spine, as well as a small squeeze in your glutes. Then slowly lower back down to the ground with control. Repeat for 8-12 chest lifts total. Keep ‘em small! No need to lift your chest super high off the ground, even just a tiny chest lift will engage those erector spinae muscles in your back. Anchor your feet under a couch , other heavy furniture, or use a back extension machine at the gym - this allows you to use your hamstrings, glutes, and lower back to help with the backbend. Try a different arm variation , like resting your palms at your low back, taking you",All Levels,Active Dynamic,http://static1.squarespace.com/static/5ea57caad08f387b2e9827bd/61c7ae9bf497521cde72e756/63ebfe125039c97cbd799884/1676848926722/Back+Extensions.png?format=1500w,Back,n/a,Spinal extension; Shoulder retraction,none,Active Back Stretch - Spinal Extension,https://www.daniwinksflexibility.com/flexopedia/back-extensions
